order_item_id,order_id,product_id,quantity,unit_price,line_amount
1,1,158,1,40.53,41.53
2,1,41,1,185.58,185.58
3,1,1,4,514.08,2056.32
4,2,122,3,242.25,726.75
5,2,221,2,26.22,52.44
6,2,144,1,412.85,412.85
7,2,243,1,31.73,31.73
8,2,220,2,238.15,476.3
9,3,88,4,253.39,1013.56
10,3,92,2,321.81,643.62
11,4,168,4,127.6,510.4
12,4,156,3,348.71,1046.13
13,5,112,4,77.62,310.48
14,5,159,2,183.98,367.96
15,6,31,2,410.12,820.24
16,6,239,4,232.12,928.48
17,6,202,2,535.78,1071.56
18,6,207,3,240.56,721.68
19,6,90,4,283.58,1134.32
20,7,169,4,275.98,1103.92
21,7,46,4,59.16,236.64
22,7,103,3,338.4,1015.2
23,8,199,3,595.74,1787.22
24,9,78,3,516.73,1550.19
25,9,209,1,104.92,104.92
26,10,215,3,109.57,328.71
27,10,222,4,591.8,2367.2
28,11,167,2,211.16,422.32
29,11,131,1,25.7,25.7
30,11,95,2,494.09,988.18
31,12,158,3,40.53,121.59
32,12,248,2,17.88,35.76
33,12,106,4,438.05,1752.2
34,13,236,2,329.05,658.1
35,13,32,2,31.57,63.14
36,13,98,2,101.01,202.02
37,14,14,1,120.45,120.45
38,14,135,2,103.69,207.38
39,14,236,3,329.05,987.15
40,14,55,1,546.65,546.65
41,15,90,3,283.58,850.74
42,15,81,4,377.96,1511.84
43,15,1,3,514.08,1542.24
44,15,192,1,209.03,209.03
45,15,114,1,267.9,267.9
46,16,97,1,126.5,126.5
47,16,166,2,290.31,580.62
48,17,246,1,337.89,337.89
49,17,6,1,522.36,522.36
50,17,46,1,59.16,60.16
51,17,32,3,31.57,94.71
52,18,150,2,485.34,970.68
53,18,71,1,461.42,461.42
54,18,95,4,494.09,1976.36
55,19,47,2,354.62,709.24
56,19,10,3,535.03,1605.09
57,19,8,4,94.41,377.64
58,19,55,4,546.65,2186.6
59,20,10,1,535.03,535.03
60,20,50,2,431.39,862.78
61,20,237,1,29.96,29.96
62,21,47,3,354.62,1063.86
63,21,196,1,296.56,296.56
64,21,250,1,412.89,412.89
65,22,168,1,127.6,127.6
66,22,173,4,161.49,645.96
67,22,55,2,546.65,1093.3
68,23,159,4,183.98,735.92
69,24,144,3,412.85,1238.55
70,25,225,4,558.36,2233.44
71,25,90,2,283.58,567.16
72,25,145,2,252.82,505.64
73,26,157,2,232.5,465.0
74,26,58,1,217.65,217.65
75,26,226,4,490.4,1961.6
76,26,38,4,78.1,312.4
77,26,120,2,387.02,774.04
78,27,184,1,529.63,529.63
79,27,84,1,320.71,320.71
80,27,167,3,211.16,633.48
81,27,236,2,329.05,658.1
82,27,89,1,496.72,496.72
83,28,62,2,39.52,79.04
84,28,73,2,194.31,388.62
85,29,100,4,456.52,1826.08
86,29,214,2,43.92,87.84
87,29,249,2,150.87,301.74
88,30,187,3,307.84,923.52
89,30,123,2,590.98,1181.96
90,30,194,1,500.87,500.87
91,30,243,4,31.73,126.92
92,31,199,4,595.74,2382.96
93,31,86,3,452.76,1358.28
94,31,159,2,183.98,367.96
95,32,145,2,252.82,505.64
96,33,187,4,307.84,1231.36
97,33,113,3,494.32,1482.96
98,33,121,2,332.64,665.28
99,34,84,3,320.71,962.13
100,34,189,2,101.42,202.84
101,35,15,4,67.37,269.48
102,35,26,2,262.62,525.24
103,35,61,2,444.06,888.12
104,36,77,2,544.38,1088.76
105,36,60,4,456.04,1824.16
106,36,45,3,592.68,1778.04
107,36,172,2,133.93,267.86
108,36,157,1,232.5,232.5
109,37,189,1,101.42,101.42
110,37,88,2,253.39,506.78
111,38,107,4,260.55,1042.2
112,38,218,1,261.15,261.15
113,38,201,3,411.58,1234.74
114,38,120,2,387.02,774.04
115,39,127,1,478.46,478.46
116,39,238,2,62.92,125.84
117,39,249,2,150.87,301.74
118,40,46,2,59.16,118.32
119,41,219,3,10.83,32.49
120,41,205,2,494.84,989.68
121,42,227,1,427.38,427.38
122,42,207,1,240.56,240.56
123,42,134,3,233.52,700.56
124,42,76,3,370.97,1112.91
125,42,216,2,498.45,996.9
126,43,56,4,531.17,2123.68
127,43,103,4,338.4,1353.6
128,43,117,4,570.65,2282.6
129,44,114,3,267.9,803.7
130,45,69,3,253.34,760.02
131,45,9,3,142.47,427.41
132,45,30,1,128.44,128.44
133,46,203,3,251.83,755.49
134,46,62,2,39.52,79.04
135,46,122,3,242.25,726.75
136,46,131,3,25.7,77.1
137,47,135,2,103.69,207.38
138,47,34,2,417.81,835.62
139,48,156,1,348.71,348.71
140,48,181,2,329.56,659.12
141,48,144,1,412.85,412.85
142,48,68,3,575.07,1725.21
143,48,11,1,161.56,161.56
144,49,155,4,531.92,2127.68
145,49,66,2,392.12,784.24
146,49,253,3,559.06,1677.18
147,49,89,4,496.72,1986.88
148,50,26,4,262.62,1050.48
149,50,54,4,116.44,465.76
150,50,86,2,452.76,905.52
151,50,97,1,126.5,126.5
152,51,216,3,498.45,1495.35
153,51,145,2,252.82,505.64
154,51,243,2,31.73,63.46
155,52,120,1,387.02,387.02
156,52,78,4,516.73,2066.92
157,52,55,2,546.65,1093.3
158,53,153,4,519.5,2078.0
159,53,244,2,561.25,1122.5
160,53,75,2,554.71,1109.42
161,53,206,1,492.66,492.66
162,53,9,3,142.47,427.41
163,54,234,4,432.94,1731.76
164,54,4,1,40.54,40.54
165,55,14,2,120.45,240.9
166,55,199,4,595.74,2382.96
167,55,229,1,395.35,395.35
168,55,173,3,161.49,484.47
169,56,199,4,595.74,2382.96
170,56,222,4,591.8,2367.2
171,56,5,4,123.98,495.92
172,56,253,2,559.06,1118.12
173,57,57,3,381.4,1144.2
174,57,260,4,243.61,974.44
175,57,229,4,395.35,1581.4
176,58,151,3,163.57,490.71
177,59,253,1,559.06,559.06
178,60,51,1,491.44,491.44
179,60,59,4,39.85,159.4
180,61,100,4,456.52,1826.08
181,61,184,1,529.63,529.63
182,61,50,3,431.39,1294.17
183,61,103,4,338.4,1353.6
184,61,79,3,352.15,1056.45
185,62,16,1,268.26,268.26
186,62,140,2,46.57,93.14
187,62,243,1,31.73,31.73
188,62,56,2,531.17,1062.34
189,62,31,3,410.12,1230.36
190,63,34,1,417.81,417.81
191,63,38,2,78.1,156.2
192,63,234,2,432.94,865.88
193,63,180,2,388.34,776.68
194,64,167,2,211.16,422.32
195,64,170,4,168.99,675.96
196,64,219,2,10.83,21.66
197,64,129,2,10.02,20.04
198,64,15,3,67.37,202.11
199,65,132,2,599.39,1198.78
200,66,72,1,162.2,162.2
201,66,57,1,381.4,381.4
202,67,4,1,40.54,40.54
203,67,173,3,161.49,484.47
204,68,230,3,402.05,1206.15
205,68,186,4,415.86,1663.44
206,68,166,4,290.31,1161.24
207,68,96,2,168.82,337.64
208,69,10,2,535.03,1070.06
209,69,39,3,522.57,1567.71
210,69,154,1,539.09,539.09
211,69,62,4,39.52,158.08
212,70,62,1,39.52,39.52
213,70,150,1,485.34,485.34
214,71,232,2,244.4,488.8
215,71,161,4,387.52,1550.08
216,72,112,3,77.62,232.86
217,73,78,2,516.73,1033.46
218,73,152,1,564.34,564.34
219,73,22,3,226.51,679.53
220,73,25,4,393.9,1575.6
221,74,217,2,536.79,1074.58
222,74,38,1,78.1,78.1
223,74,35,3,318.5,955.5
224,74,115,1,447.5,447.5
225,74,203,1,251.83,251.83
226,75,34,2,417.81,835.62
227,75,238,3,62.92,188.76
228,76,2,4,171.2,684.8
229,77,72,3,162.2,486.6
230,77,53,1,259.23,259.23
231,77,117,1,570.65,570.65
232,78,93,1,550.61,550.61
233,78,102,4,547.33,2189.32
234,78,222,1,591.8,591.8
235,78,70,4,24.95,99.8
236,79,77,4,544.38,2177.52
237,79,38,3,78.1,234.3
238,79,228,4,551.86,2207.44
239,80,156,4,348.71,1394.84
240,80,83,1,15.57,15.57
241,80,108,1,13.81,13.81
242,80,220,3,238.15,714.45
243,80,67,3,282.77,848.31
244,81,111,1,197.68,197.68
245,81,114,2,267.9,535.8
246,81,115,1,447.5,447.5
247,81,61,2,444.06,888.12
248,82,200,2,380.78,761.56
249,82,209,4,104.92,419.68
250,82,199,1,595.74,595.74
251,82,120,2,387.02,774.04
252,83,23,2,159.28,318.56
253,83,242,3,466.86,1400.58
254,83,37,2,375.7,751.4
255,84,99,3,539.1,1617.3
256,84,162,3,199.12,597.36
257,85,219,4,10.83,43.32
258,85,53,3,259.23,777.69
259,85,131,2,25.7,51.4
260,85,159,3,183.98,551.94
261,85,1,3,514.08,1542.24
262,86,106,1,438.05,438.05
263,86,178,3,542.43,1627.29
264,86,251,4,226.42,905.68
265,86,171,4,416.13,1664.52
