payment_id,order_id,payment_date,payment_method,amount,status
1,1,2025-11-27 14:22:35,paypal,2283.43,paid
2,2,2025-04-17 03:08:34,paypal,706.19,failed
3,3,2024-02-11 01:26:30,card,1408.6,paid
4,4,2025-07-02 04:36:26,paypal,1556.53,paid
5,5,2023-08-21 18:34:18,paypal,644.52,paid
6,6,2025-10-23 18:08:16,paypal,2169.96,refunded
7,7,2025-12-01 08:02:26,card,2002.4,paid
8,8,2024-01-16 19:48:58,card,1697.86,paid
9,9,2023-08-30 22:16:20,card,1655.11,paid
10,10,2023-03-15 12:37:46,paypal,1280.56,paid
11,10,2023-01-31 07:10:17,paypal,1280.56,paid
12,11,2025-11-07 07:23:54,paypal,1114.29,refunded
13,11,2025-08-07 02:43:18,card,718.1,paid
14,12,2024-01-03 09:39:38,paypal,1909.55,paid
15,13,2023-09-08 05:40:21,card,461.63,paid
16,13,2024-04-06 12:25:32,paypal,461.63,paid
17,14,2024-11-24 14:26:11,card,169.99,refunded
18,15,2024-05-09 08:21:58,paypal,4381.75,paid
19,16,2023-08-27 06:24:07,paypal,707.12,paid
20,17,2024-06-26 11:04:46,paypal,1015.12,paid
21,18,2024-04-02 11:26:39,card,3408.46,paid
22,19,2023-10-22 11:33:42,wallet,4392.71,paid
23,20,2024-10-25 12:44:48,card,590.39,refunded
24,21,2024-09-17 05:15:18,card,1507.31,paid
25,22,2025-02-27 13:18:49,card,1866.86,paid
26,23,2025-03-04 19:26:41,card,236.73,failed
27,24,2025-01-10 18:00:03,card,65.6,failed
28,25,2025-02-15 04:30:23,bank_transfer,1027.62,failed
29,26,2025-10-03 03:48:28,paypal,890.0,failed
30,27,2024-08-29 02:06:36,card,2242.84,paid
31,28,2025-07-24 03:42:40,bank_transfer,444.28,paid
32,29,2025-10-07 11:19:00,card,1994.09,paid
33,30,2023-01-26 07:26:12,card,2733.27,paid
34,31,2023-08-07 22:47:42,wallet,2054.6,paid
35,31,2025-03-09 07:02:32,card,2054.6,paid
36,32,2024-08-29 05:49:39,paypal,455.08,paid
