session_id,user_id,session_start,device_type,traffic_source,country
1,33,2024-06-08 17:26:05,desktop,email,UK
2,402,2024-10-09 08:51:55,mobile,paid_search,NL
3,287,2025-03-18 17:03:17,mobile,organic,AU
4,93,2024-10-26 17:25:24,mobile,referral,US
5,330,2025-09-09 22:59:27,mobile,paid_social,SG
6,261,2024-10-29 14:01:27,tablet,direct,DE
7,523,2025-05-27 01:02:00,desktop,paid_search,US
8,295,2023-01-09 23:21:14,mobile,organic,CA
9,577,2024-03-16 07:23:14,desktop,direct,AU
10,313,2025-06-09 19:37:08,mobile,direct,DE
11,542,2023-08-20 05:57:05,tablet,direct,US
12,146,2023-09-10 08:41:35,mobile,paid_social,AU
13,315,2025-08-30 20:00:06,mobile,direct,IN
14,565,2023-02-19 06:39:45,desktop,paid_social,FR
15,47,2023-05-21 02:06:07,mobile,organic,UK
16,144,2025-07-11 13:07:44,mobile,organic,AU
17,290,2024-11-11 19:13:38,tablet,organic,FR
18,229,2025-03-17 20:15:59,mobile,organic,IN
19,249,2024-05-16 23:23:00,desktop,paid_search,US
20,254,2025-07-02 09:46:25,mobile,organic,US
21,20,2025-10-21 05:11:49,mobile,direct,AU
22,66,2025-12-16 18:55:31,mobile,paid_social,BR
23,169,2023-07-26 10:26:15,desktop,email,UK
24,180,2023-05-18 00:12:11,mobile,organic,US
25,537,2025-03-19 15:15:41,mobile,referral,AU
26,80,2025-03-18 07:34:03,desktop,organic,AU
27,167,2023-09-02 12:13:14,mobile,organic,AU
28,472,2024-08-09 14:25:12,mobile,paid_search,US
29,577,2025-10-11 19:26:26,mobile,direct,AU
30,206,2025-08-30 02:20:57,mobile,organic,FR
31,295,2025-06-23 15:07:46,tablet,organic,CA
32,461,2024-02-20 12:08:35,desktop,organic,US
33,114,2023-12-22 03:17:13,desktop,organic,SG
34,283,2024-11-04 08:46:13,mobile,paid_search,SG
35,1,2024-04-21 20:03:32,desktop,direct,US
36,534,2024-09-11 05:23:41,mobile,paid_social,SG
37,505,2025-05-16 11:03:31,desktop,paid_social,NL
38,422,2025-10-19 02:07:49,tablet,direct,IN
39,522,2023-11-28 14:37:57,mobile,referral,US
40,243,2025-07-10 07:56:29,desktop,paid_search,UK
41,160,2023-01-17 14:37:26,desktop,paid_social,UK
42,565,2025-01-10 18:56:18,mobile,organic,FR
43,470,2024-02-04 09:50:01,mobile,direct,US
44,108,2023-12-10 06:42:19,desktop,organic,US
45,109,2023-08-19 23:20:27,desktop,organic,US
46,550,2023-07-27 17:37:03,desktop,paid_search,CA
47,24,2024-08-05 19:59:03,desktop,paid_social,UK
48,252,2023-03-17 07:21:45,mobile,paid_social,SG
49,139,2025-07-10 15:04:04,mobile,organic,US
50,200,2024-04-07 17:51:51,tablet,paid_social,US
51,497,2023-02-09 18:10:48,mobile,direct,CA
52,239,2023-05-19 14:18:47,mobile,direct,BR
53,391,2024-01-30 06:46:55,mobile,paid_search,SG
54,396,2023-06-03 03:25:13,desktop,paid_search,NL
55,11,2024-11-02 22:40:55,mobile,email,UK
56,55,2024-04-09 06:24:00,mobile,paid_social,IN
57,436,2025-06-04 19:38:33,mobile,direct,US
58,322,2025-11-10 14:43:19,mobile,organic,CA
59,403,2023-10-02 11:23:54,mobile,paid_search,CA
60,229,2023-10-09 17:03:20,mobile,paid_social,IN
61,358,2023-09-08 06:21:04,desktop,direct,UK
62,82,2023-11-15 21:00:48,tablet,paid_search,SG
63,299,2024-12-15 22:04:52,mobile,direct,BR
64,22,2023-03-27 04:32:07,mobile,referral,IN
65,317,2023-03-17 00:17:03,desktop,direct,BR
66,481,2023-11-13 00:12:00,desktop,paid_search,SG
67,256,2024-04-03 04:22:19,mobile,paid_search,UK
68,282,2025-03-12 08:13:27,desktop,organic,BR
69,318,2024-01-09 15:37:02,mobile,referral,US
70,122,2023-09-20 02:14:54,mobile,direct,AU
71,54,2024-03-31 11:31:48,mobile,organic,US
72,140,2024-09-11 20:44:53,desktop,paid_search,CA
73,463,2023-10-04 12:09:58,desktop,paid_search,IN
74,314,2025-09-15 06:40:38,mobile,email,BR
75,252,2025-05-24 20:20:20,tablet,paid_search,SG
76,236,2025-02-28 02:12:55,tablet,paid_search,US
77,565,2024-02-29 10:15:31,tablet,email,FR
78,236,2024-04-11 01:46:42,tablet,paid_social,US
79,270,2024-09-14 13:02:45,mobile,paid_search,IN
80,71,2025-03-16 10:14:07,mobile,organic,US
81,200,2024-03-06 23:49:09,mobile,paid_social,US
82,423,2024-08-24 08:22:52,mobile,paid_search,IN
83,400,2025-12-07 10:37:55,mobile,direct,BR
84,387,2025-10-13 23:53:08,mobile,paid_social,US
85,160,2024-09-10 15:17:04,mobile,referral,UK
86,571,2024-08-18 11:09:29,mobile,paid_search,IN
87,42,2023-03-30 23:38:30,mobile,direct,US
88,44,2024-02-05 18:21:35,mobile,direct,US
89,13,2025-09-04 21:29:23,mobile,direct,US
90,240,2024-06-01 14:06:34,mobile,direct,AU
91,199,2024-06-25 09:49:24,mobile,referral,IN
92,5,2023-12-25 17:57:31,desktop,organic,IN
93,222,2023-06-05 20:31:47,mobile,organic,BR
94,593,2023-06-06 16:22:11,mobile,organic,FR
95,270,2025-11-07 00:51:27,mobile,paid_social,IN
96,563,2024-05-22 05:29:32,mobile,paid_search,UK
97,469,2023-10-19 16:45:46,tablet,paid_search,IN
98,329,2025-10-03 01:45:07,desktop,direct,CA
99,49,2023-07-04 00:24:57,mobile,paid_search,SG
100,68,2025-06-10 11:06:04,mobile,paid_search,US
101,62,2025-06-23 16:26:12,desktop,paid_social,US
102,30,2024-11-11 16:52:36,mobile,direct,CA
103,437,2024-08-26 01:44:23,tablet,email,US
104,463,2025-06-20 20:10:46,desktop,email,IN
105,9,2023-10-16 14:03:41,mobile,email,BR
106,541,2024-03-18 19:06:50,tablet,organic,US
107,505,2025-12-27 03:36:11,mobile,paid_search,NL
108,151,2025-03-19 07:05:58,desktop,paid_search,US
109,394,2023-06-15 12:39:39,mobile,paid_social,CA
110,154,2023-01-25 04:04:16,mobile,referral,US
111,293,2024-08-03 00:21:46,desktop,direct,IN
112,500,2025-05-21 17:05:13,desktop,organic,CA
113,58,2023-04-19 01:14:51,tablet,organic,CA
114,505,2025-06-18 13:07:12,desktop,organic,NL
115,396,2025-01-16 01:45:01,desktop,organic,NL
116,130,2025-01-23 06:54:26,tablet,email,CA
117,41,2025-01-13 13:15:41,mobile,organic,DE
118,209,2023-03-05 17:50:00,mobile,organic,AU
119,287,2025-10-28 10:02:38,mobile,paid_social,AU
120,333,2025-06-11 13:30:56,mobile,organic,AU
121,33,2025-01-29 06:06:23,mobile,referral,UK
122,91,2023-03-07 01:42:41,tablet,organic,BR
123,390,2024-08-25 11:37:37,desktop,referral,CA
124,317,2024-06-22 14:09:08,mobile,organic,BR
125,579,2025-12-24 19:39:01,mobile,organic,IN
126,572,2025-03-05 13:09:40,mobile,organic,US
